Header-Length,Duration,Rate,Srate,syn_flag_number,psh_flag_number,ack_flag_number,syn_count,fin_count,rst_count,HTTPS,TCP,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight
65.98826023,34.06109405,180.0588082,0.02935901,0,0,0,6130,0,0,0,1,404706,42,66,65.98826023,0.530718896,6133,23.64862299,6132,0,0,0,0,0
96.53617021,57.27828598,4.102776401,0.017458623,0,54,210,48,48,1,0,1,22686,42,270,96.53617021,76.11441125,235,100000100,234,97.47554672,6288.65367,206.7303826,0.474941959,13589
65.9843086,1.865753174,1639.55235,0.535976577,0,0,0,3057,0,0,0,1,201846,42,66,65.9843086,0.613571925,3059,100000022,3058,0,0,0,0,0
65.99265851,56.97110295,631.1971883,0.017552758,0,0,0,35949,0,0,0,1,2373096,42,66,65.99265851,0.419698432,35960,7.18821907,35959,0,0,0,0,0
